id	sa_numeric_mean	sa_numeric_sum	sa_scaled_mean	sa_scaled_sum	sentence_count
AMREFNordic-1383642225135311	1.0	1	0.5703597068786621	0.5703597068786621	1
AMREFNordic-2859742527371937	1.0	1	0.44635364413261414	0.44635364413261414	1
AMREFNordic-2868701703142686	1.0	1	0.526157021522522	0.526157021522522	1
AMREFNordic-2868711639808359	1.0	1	0.5703597068786621	0.5703597068786621	1
AMREFNordic-2885110334835156	1.0	2	0.6849071383476257	1.3698142766952515	2
AMREFNordic-2895033080509548	1.0	3	0.5881479183832804	1.7644437551498413	3
AMREFNordic-2897842073561982	1.0	5	0.6100112974643708	3.0500564873218536	5
AMREFNordic-2898898106789712	1.0	5	0.6100112974643708	3.0500564873218536	5
AMREFNordic-2923889507623905	1.0	4	0.5202539786696434	2.0810159146785736	4
AMREFNordic-2942678925744963	1.0	1	0.7776305675506592	0.7776305675506592	1
AMREFNordic-2972174679462054	1.0	1	0.7747881412506104	0.7747881412506104	1
AMREFNordic-2974265035919685	1.0	4	0.5388888344168663	2.155555337667465	4
AMREFNordic-2974299529249569	1.0	4	0.5388888344168663	2.155555337667465	4
AMREFNordic-2980259151986940	1.0	1	0.5703597068786621	0.5703597068786621	1
AMREFNordic-548024705977887	1.0	1	0.5703597068786621	0.5703597068786621	1
ActionAidSweden-10157288232473361	0.5	2	0.31765519082546234	1.2706207633018494	4
ActionAidSweden-10157300034598361	1.0	1	0.5703597068786621	0.5703597068786621	1
ActionAidSweden-10157307493978361	0.6	3	0.3779705286026001	1.8898526430130005	5
ActionAidSweden-10157318981638361	1.0	3	0.5669644375642141	1.7008933126926422	3
ActionAidSweden-10157323016188361	0.7142857142857143	5	0.4733792117663792	3.3136544823646545	7
ActionAidSweden-10157340157168361	-0.42857142857142855	-3	-0.24983333264078414	-1.748833328485489	7
ActionAidSweden-10157346907618361	0.6	3	0.3797183632850647	1.8985918164253235	5
ActionAidSweden-10157349052848361	-0.3333333333333333	-1	-0.14653279383977255	-0.4395983815193176	3
ActionAidSweden-10157351532928361	0.6	3	0.3686362385749817	1.8431811928749084	5
ActionAidSweden-10157352015343361	0.2	1	0.11816644668579102	0.5908322334289551	5
ActionAidSweden-10157353677848361	-0.3333333333333333	-1	-0.1503655711809794	-0.45109671354293823	3
ActionAidSweden-10157356041668361	-0.2727272727272727	-3	-0.16708607565272937	-1.8379468321800232	11
ActionAidSweden-10157363661403361	0.0	0	-0.03738964100678762	-0.2243378460407257	6
ActionAidSweden-10157368725593361	-0.6666666666666666	-4	-0.39163274069627124	-2.3497964441776276	6
ActionAidSweden-10157371046618361	0.6	3	0.20639302134513854	1.0319651067256927	5
ActionAidSweden-10157387064753361	0.6666666666666666	8	0.46657553563515347	5.598906427621841	12
ActionAidSweden-10157387075873361	0.3333333333333333	1	0.3665414055188497	1.099624216556549	3
ActionAidSweden-10157389183568361	1.0	5	0.5607762932777405	2.8038814663887024	5
ActionAidSweden-10157389781253361	0.11764705882352941	2	0.11556613620589762	1.9646243155002594	17
ActionAidSweden-10157391725193361	0.0	0	0.008124950528144836	0.08124950528144836	10
ActionAidSweden-10157392653118361	0.5	2	0.3779214173555374	1.5116856694221497	4
ActionAidSweden-10157392669088361	0.0	0	0.03652632236480713	0.21915793418884277	6
ActionAidSweden-10157394792573361	1.0	2	0.7318418920040131	1.4636837840080261	2
ActionAidSweden-10157394801953361	0.5	2	0.31049035489559174	1.241961419582367	4
ActionAidSweden-10157397535953361	0.6666666666666666	4	0.45035361250241596	2.702121675014496	6
ActionAidSweden-10157400361643361	0.5	2	0.33449485898017883	1.3379794359207153	4
ActionAidSweden-10157400960918361	1.0	3	0.6642806529998779	1.9928419589996338	3
ActionAidSweden-10157401111938361	0.5	4	0.32881275564432144	2.6305020451545715	8
ActionAidSweden-10157402888108361	1.0	2	0.6252738535404205	1.250547707080841	2
ActionAidSweden-10157403185953361	0.3333333333333333	2	0.25220397611459094	1.5132238566875458	6
