id	sa_numeric_mean	sa_numeric_sum	sa_scaled_mean	sa_scaled_sum	sentence_count
AMREFNordic-1462310700448467	-1.0	-1	-0.3875734210014343	-0.3875734210014343	1
AMREFNordic-1463504120329125	0.3333333333333333	1	0.3067888816197713	0.920366644859314	3
AMREFNordic-1498580803488123	1.0	1	0.6640980839729309	0.6640980839729309	1
AMREFNordic-1509508702395333	1.0	1	0.5119770765304565	0.5119770765304565	1
AMREFNordic-1610083792337823	1.0	3	0.5086055795351664	1.5258167386054993	3
AMREFNordic-1686661044680097	1.0	1	0.4996028244495392	0.4996028244495392	1
AMREFNordic-1689661471046721	1.0	1	0.5268409252166748	0.5268409252166748	1
AMREFNordic-1697299040282964	1.0	1	0.5703597068786621	0.5703597068786621	1
ActionAidSweden-10154913266358361	0.6666666666666666	6	0.4586835304896037	4.128151774406433	9
ActionAidSweden-10154930298718361	-0.7142857142857143	-5	-0.3249297780650003	-2.274508446455002	7
ActionAidSweden-10154933143898361	0.5	3	0.2860896686712901	1.7165380120277405	6
ActionAidSweden-10154952450703361	1.0	1	0.5898714661598206	0.5898714661598206	1
ActionAidSweden-10154955718593361	-0.7142857142857143	-5	-0.38292098896844046	-2.6804469227790833	7
ActionAidSweden-10154962911088361	-0.45454545454545453	-5	-0.24525675990364768	-2.6978243589401245	11
ActionAidSweden-10154975730043361	0.3333333333333333	2	0.10826230049133301	0.649573802947998	6
ActionAidSweden-10154983721623361	0.0	0	-0.04171347618103027	-0.1668539047241211	4
ActionAidSweden-10155015431118361	1.0	4	0.6024081334471703	2.409632533788681	4
ActionAidSweden-10155018685418361	0.0	0	0.029893686374028523	0.17936211824417114	6
ActionAidSweden-10155019337043361	1.0	1	0.5703597068786621	0.5703597068786621	1
ActionAidSweden-10155023141363361	0.3333333333333333	1	0.1979672908782959	0.5939018726348877	3
ActionAidSweden-10155025734598361	1.0	3	0.5333573321501414	1.6000719964504242	3
ActionAidSweden-10155041084458361	0.16666666666666666	1	0.058188428481419883	0.3491305708885193	6
ActionAidSweden-10155043308643361	0.2	1	0.02369503378868103	0.11847516894340515	5
ActionAidSweden-10155061295953361	-0.42857142857142855	-3	-0.2681521603039333	-1.877065122127533	7
ActionAidSweden-10155069755083361	0.0	0	-0.03830321878194809	-0.15321287512779236	4
ActionAidSweden-10155085097223361	1.0	3	0.5093114078044891	1.5279342234134674	3
ActionAidSweden-10155102534778361	0.0	0	0.11354515701532364	0.45418062806129456	4
ActionAidSweden-10155108629818361	0.0	0	0.01100262999534607	0.02200525999069214	2
ActionAidSweden-10155113907833361	0.3333333333333333	1	0.048944840828577675	0.14683452248573303	3
ActionAidSweden-10155129764323361	1.0	6	0.658073902130127	3.9484434127807617	6
ActionAidSweden-10155156474603361	1.0	2	0.5290802121162415	1.058160424232483	2
ActionAidSweden-10155175281203361	0.6	3	0.34516201019287107	1.7258100509643555	5
ActionAidSweden-10155196129268361	0.0	0	0.009969443082809448	0.019938886165618896	2
ActionAidSweden-10155204847148361	1.0	5	0.5775547623634338	2.887773811817169	5
ActionAidSweden-10155219113538361	0.7142857142857143	5	0.3414900728634426	2.390430510044098	7
ActionAidSweden-10155233308093361	1.0	1	0.5703597068786621	0.5703597068786621	1
ActionAidSweden-10155237555948361	0.3333333333333333	2	0.21860379974047342	1.3116227984428406	6
ActionAidSweden-10155243454578361	0.3333333333333333	2	0.19192350407441458	1.1515410244464874	6
ActionAidSweden-10155259423863361	1.0	2	0.6249200403690338	1.2498400807380676	2
ActionAidSweden-10155271242858361	-0.5	-2	-0.216415137052536	-0.865660548210144	4
ActionAidSweden-10155277856603361	0.6	3	0.36757280230522155	1.8378640115261078	5
ActionAidSweden-10155289384233361	0.14285714285714285	1	0.08394151500293187	0.5875906050205231	7
ActionAidSweden-10155299557213361	-0.3333333333333333	-1	-0.2101773222287496	-0.6305319666862488	3
ActionAidSweden-10155327066208361	-0.2	-1	-0.13232481479644775	-0.6616240739822388	5
ActionAidSweden-10155330092418361	0.3333333333333333	1	0.1744125783443451	0.5232377350330353	3
ActionAidSweden-10155332527618361	0.3333333333333333	1	0.20518902937571207	0.6155670881271362	3
ActionAidSweden-10155345220958361	0.0	0	0.05035194754600525	0.3021116852760315	6
ActionAidSweden-10155364350503361	0.0	0	0.04458671808242798	0.17834687232971191	4
ActionAidSweden-10155378692033361	-0.5	-2	-0.272785946726799	-1.091143786907196	4
ActionAidSweden-10155398192088361	0.6	3	0.32850438356399536	1.6425219178199768	5
ActionAidSweden-10155415629973361	0.3333333333333333	2	0.19501455128192902	1.170087307691574	6
ActionAidSweden-10155421954948361	0.0	0	0.02042284111181895	0.1225370466709137	6
ActionAidSweden-10155444828463361	0.0	0	-0.004638150334358215	-0.027828902006149292	6
ActionAidSweden-10155448490688361	1.0	1	0.7617687582969666	0.7617687582969666	1
ActionAidSweden-10155510804858361	0.3333333333333333	1	0.18322356541951498	0.5496706962585449	3
ActionAidSweden-10155516054788361	0.6	3	0.449031400680542	2.24515700340271	5
ActionAidSweden-10155537553428361	1.0	2	0.6520320624113083	1.3040641248226166	2
ActionAidSweden-10155539718728361	0.0	0	0.020402679840723675	0.12241607904434204	6
ActionAidSweden-10155545608598361	0.0	0	-0.007864981889724731	-0.04718989133834839	6
ActionAidSweden-10155556273908361	-0.5555555555555556	-5	-0.34058446685473126	-3.065260201692581	9
ActionAidSweden-10155585578238361	-0.3333333333333333	-3	-0.24970146351390415	-2.2473131716251373	9
ActionAidSweden-10155587653808361	0.0	0	0.0063020288944244385	0.025208115577697754	4
