"post_id"	"post_message"	"by"	"post_published_unix"	"post_lang"	"likes_at_posting"	"likes_count_fb"	"comments_count_fb"	"shares_count_fb"	"reactions_count"	"engagement_index"	"emoji"	"emnum"
"lakareutangranser-10154390097620787"	"VÅR FJÄRDE ÖNSKAN Läkaren Animesh arbetar med tuberkulos i Vitryssland. Han önskar att fler sjuka fick tillgång till nya tbc-läkemedel som delamanid och bedaquiline. Följ oss i sociala medier och ta del av fler önskningar för 2017."	"lakareutangranser"	1483985580	"se"	379402	679	3	32	17	731	NA	0
"wateraidswe-10155909281104307"	"Idag 10:00 arrangerar vi ett seminarium på Sida om vatten och klimat. Medverkar gör bland andra Jan Eliasson. Seminariet sänds live på vår hemsida och det går bra att ställa frågor till panelen på Twitter via hashtaggen #WildWater Följ seminariet på länken: http://www.wateraid.org/se/vart-arbete/vad-det-handlar-om/vatten/varldsvattendagen-2017/wild-water"	"wateraidswe"	1490252100	"se"	6433	22	0	0	0	22	NA	0
"IslamicReliefSverige-209319523312871"	"Könsbaserat våld ett stort folkhälsoproblem. Våld mot kvinnor händer i varje kultur och varje samhälle runtom i världen. Islamic Reliefs ordförande tar upp frågan om varför det är så viktigt för oss att uppmärksamma och bekämpa detta problem på en global nivå. Inom Islam är det väldigt tydligt när det gäller att skydda och hedra kvinnor. Gud den Allsmäktige säger att vi ska värna om varandra och att vi ska främja kvinnors värdighet. Vi står upp för kvinnors rättigheter. Kommer du att göra det? Lösningarna börjar med oss. #16DaysOfActivism"	"IslamicReliefSverige"	1544403900	"se"	17440	86	3	12	9	110	NA	0
"berattarministeriet-1063210810407298"	"Tänk så viktig bibliotekariens roll är! I fredags var vi med och tackade av Anneli Filipsson som går i pension efter fantastiska insatser i Husby bibliotek."	"berattarministeriet"	1448899542	"se"	3647	19	0	0	0	19	NA	0
"HRFriks-1787635874625307"	"Tinnitus är verkligen jättemycket psykologi säger Nina Mohss i en intervju i tidningen Land. Nina har lärt sig hantera sin tinnitus med hjälp av hörapparater och KBT. Något som känns igen? Har du frågor om tinnitus eller andra hörselfrågor välkommen att kontakta Hörsellinjen via formuläret på www.horsellinjen.se:=:https://horsellinjen.se/ eller via telefon: 0771-888 000!"	"HRFriks"	1535618309	"se"	3532	26	3	6	0	35	NA	0
"riksforbundet.fub-1361923357191185"	"Nu har även besökarna på mässan Mötesplats Välfärdsteknik (mvte.se) fått ta del av kunskap från projektet Anpassad It. Projektet genomfördes på Mora folkhögskola och har finansierats av Arvsfonden. Från Dalarna kom också ordföranden för FUB Hedemora Säter Anders Bond som är psykolog och han höll ett föredrag för MTVe-besökarna om tekniska hjälpmedel och hur både miljöns krav kan anpassas och den egna förmågan stärkas. Några av hans bilder finns här: andersbond.se/abond.pdf"	"riksforbundet.fub"	1485354124	"se"	2514	32	2	0	0	34	NA	0
"civilrightsdefenders-723011427738730"	"Robert Hårdh Civil Rights Defenders chef intervjuas i Sveriges Radio om oron för den så kallade Putindoktrinen."	"civilrightsdefenders"	1395653746	"se"	20942	12	0	1	0	13	NA	0
"GbgStadsmission-1222917984400047"	"Så fint! <3 . De idéburna organisationerna har en viktig plats i vårt samhälle. Vi gör skillnad."	"GbgStadsmission"	1462304751	"se"	7737	40	0	0	0	40	NA	0
"savetheorangutan.sverige-1795622327124601"	"Varje dag försvinner 20 orangutanger från regnskogen."	"savetheorangutan.sverige"	1525352829	"se"	10085	49	16	65	200	330	NA	0
"SLMK.1981-3692895004059633"	"För tre år sedan den 7 juli 2017 befann vi oss i FN:s högkvarter i New York och var med om något historiskt. 122 av världens stater däribland Sverige röstade ja till ett förbud mot kärnvapen. Men tre år senare har Sverige vare sig skrivit under eller ratificerat förbudet. Vi fortsätter att arbeta för att Sverige ska göra det rätta och stå upp mot kärnvapen. Vill du stötta vårt arbete för en kärnvapenfri värld? Skänk valfri summa via Swish: 123 901 0901 eller bankgiro: 901-0901. För mer information om hur du kan stötta oss gå in på: www.slmk.org/gava/:=:https://slmk.org/gava/ Tack för att du är med och gör vårt arbete möjligt!"	"SLMK.1981"	1594114771	"se"	2171	53	2	2	2	59	NA	0
