id	sa_numeric_mean	sa_numeric_sum	sa_scaled_mean	sa_scaled_sum	sentence_count
AMREFNordic-2175101472502716	1.0	1	0.4197753369808197	0.4197753369808197	1
AMREFNordic-2213040722042124	1.0	1	0.5703597068786621	0.5703597068786621	1
AMREFNordic-2220030034676526	1.0	1	0.5703597068786621	0.5703597068786621	1
AMREFNordic-2355869291092599	1.0	2	0.6275482475757599	1.2550964951515198	2
ActionAidSweden-10156523635158361	-1.0	-6	-0.5803412199020386	-3.4820473194122314	6
ActionAidSweden-10156523663293361	-0.3333333333333333	-2	-0.26737135648727417	-1.604228138923645	6
ActionAidSweden-10156530458948361	-0.7142857142857143	-5	-0.37822105629103525	-2.6475473940372467	7
ActionAidSweden-10156552258538361	0.3333333333333333	3	0.19234109256002638	1.7310698330402374	9
ActionAidSweden-10156556220398361	-0.6666666666666666	-4	-0.394737387696902	-2.3684243261814117	6
ActionAidSweden-10156560465623361	0.2	1	0.14094409346580505	0.7047204673290253	5
ActionAidSweden-10156573257198361	0.5	5	0.2947097450494766	2.9470974504947662	10
ActionAidSweden-10156586297253361	-0.3333333333333333	-3	-0.15635915597279867	-1.407232403755188	9
ActionAidSweden-10156598562253361	0.0	0	0.09234747290611267	0.18469494581222534	2
ActionAidSweden-10156600509188361	0.2222222222222222	2	0.1717413134045071	1.545671820640564	9
ActionAidSweden-10156620168163361	0.2	1	0.08153541088104248	0.4076770544052124	5
ActionAidSweden-10156637347768361	1.0	2	0.6691941916942596	1.3383883833885193	2
ActionAidSweden-10156646112948361	0.3333333333333333	1	0.23136133948961893	0.6940840184688568	3
ActionAidSweden-10156650481113361	0.3333333333333333	1	0.05403487881024679	0.16210463643074036	3
ActionAidSweden-10156650490873361	-1.0	-1	-0.4764573276042938	-0.4764573276042938	1
ActionAidSweden-10156665389403361	0.6	3	0.3775859236717224	1.887929618358612	5
ActionAidSweden-10156667552513361	0.6	3	0.3047719061374664	1.5238595306873322	5
